      Energy	InelasticMFP
        (eV)	        (nm)
4.570882e+01	4.728339e-01
4.623810e+01	4.639541e-01
4.677351e+01	4.558056e-01
4.731513e+01	4.483200e-01
4.786301e+01	4.414373e-01
4.841724e+01	4.351040e-01
4.897788e+01	4.292730e-01
4.954502e+01	4.239022e-01
5.011872e+01	4.189540e-01
5.069907e+01	4.143949e-01
5.128614e+01	4.101948e-01
5.188000e+01	4.063267e-01
5.248075e+01	4.027657e-01
5.308844e+01	3.994885e-01
5.370318e+01	3.964740e-01
5.432503e+01	3.937036e-01
5.495409e+01	3.911602e-01
5.559043e+01	3.888284e-01
5.623413e+01	3.866953e-01
5.688529e+01	3.847484e-01
5.754399e+01	3.829765e-01
5.821032e+01	3.813599e-01
5.888437e+01	3.798987e-01
5.956621e+01	3.785843e-01
6.025596e+01	3.774090e-01
6.095369e+01	3.763582e-01
6.165950e+01	3.754404e-01
6.237348e+01	3.746419e-01
6.309573e+01	3.739567e-01
6.382635e+01	3.733797e-01
6.456542e+01	3.729058e-01
6.531306e+01	3.725305e-01
6.606934e+01	3.722443e-01
6.683439e+01	3.720542e-01
6.760830e+01	3.719510e-01
6.839116e+01	3.719315e-01
6.918310e+01	3.719925e-01
6.998420e+01	3.721312e-01
7.079458e+01	3.723448e-01
7.161434e+01	3.726310e-01
7.244360e+01	3.729837e-01
7.328245e+01	3.734081e-01
7.413102e+01	3.738985e-01
7.498942e+01	3.744529e-01
7.585776e+01	3.750697e-01
7.673615e+01	3.757471e-01
7.762471e+01	3.764836e-01
7.852356e+01	3.772777e-01
7.943282e+01	3.781281e-01
8.035261e+01	3.790311e-01
8.128305e+01	3.799904e-01
8.222426e+01	3.810024e-01
8.317638e+01	3.820660e-01
8.413951e+01	3.831803e-01
8.511380e+01	3.843444e-01
8.609938e+01	3.855576e-01
8.709636e+01	3.868189e-01
8.810489e+01	3.881278e-01
8.912509e+01	3.894817e-01
9.015711e+01	3.908834e-01
9.120108e+01	3.923307e-01
9.225714e+01	3.938229e-01
9.332543e+01	3.953596e-01
9.440609e+01	3.969401e-01
9.549926e+01	3.985642e-01
9.660509e+01	4.002313e-01
9.772372e+01	4.019410e-01
9.885531e+01	4.036930e-01
1.000000e+02	4.054870e-01
1.023293e+02	4.092080e-01
1.047129e+02	4.131124e-01
1.071519e+02	4.171928e-01
1.096478e+02	4.214435e-01
1.122018e+02	4.258155e-01
1.148154e+02	4.303429e-01
1.174898e+02	4.349857e-01
1.202264e+02	4.398193e-01
1.230269e+02	4.448046e-01
1.258925e+02	4.499410e-01
1.288250e+02	4.552281e-01
1.318257e+02	4.606658e-01
1.348963e+02	4.662543e-01
1.380384e+02	4.719938e-01
1.412538e+02	4.778847e-01
1.445440e+02	4.839277e-01
1.479108e+02	4.901235e-01
1.513561e+02	4.964730e-01
1.548817e+02	5.029772e-01
1.584893e+02	5.096373e-01
1.621810e+02	5.164550e-01
1.659587e+02	5.234326e-01
1.698244e+02	5.305718e-01
1.737801e+02	5.378748e-01
1.778279e+02	5.453210e-01
1.819701e+02	5.529582e-01
1.862087e+02	5.607655e-01
1.905461e+02	5.687453e-01
1.949845e+02	5.769001e-01
1.995262e+02	5.852324e-01
2.041738e+02	5.937449e-01
2.089296e+02	6.024403e-01
2.137962e+02	6.113216e-01
2.187762e+02	6.203919e-01
2.238721e+02	6.296544e-01
2.290868e+02	6.391123e-01
2.344229e+02	6.487688e-01
2.398833e+02	6.586274e-01
2.454709e+02	6.686916e-01
2.511886e+02	6.789649e-01
2.570396e+02	6.894509e-01
2.630268e+02	7.001535e-01
2.691535e+02	7.110765e-01
2.754229e+02	7.222238e-01
2.818383e+02	7.335996e-01
2.884032e+02	7.452080e-01
2.951209e+02	7.570531e-01
3.019952e+02	7.691393e-01
3.090295e+02	7.814711e-01
3.162278e+02	7.940530e-01
3.235937e+02	8.068895e-01
3.311311e+02	8.199854e-01
3.388442e+02	8.333455e-01
3.467369e+02	8.469712e-01
3.548134e+02	8.608748e-01
3.630781e+02	8.750577e-01
3.715352e+02	8.895251e-01
3.801894e+02	9.042825e-01
3.890451e+02	9.193353e-01
3.981072e+02	9.346890e-01
4.073803e+02	9.503495e-01
4.168694e+02	9.663225e-01
4.265795e+02	9.826141e-01
4.365158e+02	9.992302e-01
4.466836e+02	1.016177e+00
4.570882e+02	1.033461e+00
4.677351e+02	1.051089e+00
4.786301e+02	1.069067e+00
4.897788e+02	1.087402e+00
5.011872e+02	1.106100e+00
5.128614e+02	1.125170e+00
5.248075e+02	1.144618e+00
5.370318e+02	1.164451e+00
5.495409e+02	1.184677e+00
5.623413e+02	1.205304e+00
5.754399e+02	1.226339e+00
5.888437e+02	1.247790e+00
6.025596e+02	1.269665e+00
6.165950e+02	1.291974e+00
6.309573e+02	1.314723e+00
6.456542e+02	1.337922e+00
6.606934e+02	1.361580e+00
6.760830e+02	1.385706e+00
6.918310e+02	1.410308e+00
7.079458e+02	1.435396e+00
7.244360e+02	1.460980e+00
7.413102e+02	1.487069e+00
7.585776e+02	1.513674e+00
7.762471e+02	1.540804e+00
7.943282e+02	1.568469e+00
8.128305e+02	1.596681e+00
8.317638e+02	1.625451e+00
8.511380e+02	1.654788e+00
8.709636e+02	1.684705e+00
8.912509e+02	1.715212e+00
9.120108e+02	1.746322e+00
9.332543e+02	1.778046e+00
9.549926e+02	1.810397e+00
9.772372e+02	1.843386e+00
1.000000e+03	1.877027e+00
1.023293e+03	1.911332e+00
1.047129e+03	1.946315e+00
1.071519e+03	1.981989e+00
1.096478e+03	2.018368e+00
1.122018e+03	2.055465e+00
1.148154e+03	2.093295e+00
1.174898e+03	2.131872e+00
1.202264e+03	2.171211e+00
1.230269e+03	2.211328e+00
1.258925e+03	2.252238e+00
1.288250e+03	2.293956e+00
1.318257e+03	2.336498e+00
1.348963e+03	2.379882e+00
1.380384e+03	2.424122e+00
1.412538e+03	2.469238e+00
1.445440e+03	2.515245e+00
1.479108e+03	2.562162e+00
